Timestamp,Solar_Power_kW,Wind_Power_kW,Grid_Power_kW,Battery_SoC_%,SC_Charge_kW_x,Hydrogen_Production_kg/h,Load_Demand_kW,Power_Supplied_kW,Power_Loss_kW,Battery_Charge_kW,Battery_Discharge_kW,SC_Charge_kW_y,SC_Discharge_kW,hour,Electricity_Price_USDperkWh,Grid_Status,SC_Energy_kWh_raw,Optimization_Level,day_name,month_name,Combined_Renewable_kW,Power_Deficit_kW,Load_Demand_Rate_of_Change,Solar_Power_Rate_of_Change,Wind_Power_Rate_of_Change
2024-04-01 00:00:00,18.727005942368123,7.405317153544786,8.92558525603859,73.81623953671183,5.719958782835928,1.9681776013872103,62.4128477038911,62.21885043024667,0.1939972736444346,22.483570765056164,21.99677718293001,3.649643450051237,0.184384884245218,0,0.1,1,0.0,High Efficiency,Monday,April,26.13232309591291,36.280524607978194,0.0,0.0,0.0
2024-04-01 01:00:00,47.53571532049581,21.676037895134325,8.704681986079997,83.73451177530978,8.054323292999863,2.367178296875107,38.61931810525832,37.68545546410267,0.933862641155649,19.308678494144075,19.623168414563843,4.710962658568964,2.279229978440996,1,0.1,1,0.0405288780021328,High Efficiency,Monday,April,69.21175321563014,-30.592435110371817,23.79352959863278,28.808709378127688,14.270720741589539
2024-04-01 02:00:00,36.59969709057025,34.91783343505633,18.59381870781555,40.03743190339992,7.60160929790159,4.272736966010902,73.61972816774075,69.46349914229103,4.156229025449719,23.23844269050346,15.29815184960087,3.415160158000077,3.172788933156712,2,0.1,1,0.0445683984161888,Moderate Efficiency,Monday,April,71.51753052562658,2.102197642114163,35.00041006248242,10.936018229925558,13.241795539922006
2024-04-01 03:00:00,29.93292420985183,29.288995456382448,8.743192997742591,69.98992796855991,1.5389990469377368,1.7000219302994606,60.65581195346208,56.8219701717704,3.8338417816916817,27.61514928204013,11.765316111472131,4.384076940721919,7.775375314680381,3,0.1,1,0.0,Moderate Efficiency,Monday,April,59.22191966623428,1.433892287227799,12.963916214278669,6.6667728807184226,5.628837978673882
2024-04-01 04:00:00,7.800932022121826,32.26244591445799,9.079245891929464,65.7396786514999,1.492494697414739,4.3482484240608565,37.86019417784771,36.10698072056198,1.7532134572857316,18.82923312638332,18.491116568067948,1.212770666092429,5.113106249067516,4,0.1,1,0.0,High Efficiency,Monday,April,40.06337793657982,-2.2031837587321093,22.795617775614367,22.131992187730006,2.9734504580755434
2024-04-01 05:00:00,7.799726016810133,26.35133466842869,16.390973936269454,86.62643014306168,2.681743677449133,0.4406721548834574,78.11690287406034,76.23284973518928,1.8840531388710675,18.8293152152541,16.967426927108747,5.426587414745877,1.3290368618002173,5,0.1,1,0.068292509215761,High Efficiency,Monday,April,34.151060685238825,43.96584218882152,40.256708696212634,0.0012060053116931257,5.9111112460293
2024-04-01 06:00:00,2.9041806084099733,27.6910625807141,11.7460976367581,92.48696483850084,3.610747263410372,3.8839921860431534,55.91827316676603,53.25050099899813,2.6677721677679003,27.896064077536955,19.475966100138663,5.002410950724449,4.972072578835274,6,0.1,1,0.0687981487472472,Moderate Efficiency,Monday,April,30.595243189124073,25.323029977641955,22.198629707294316,4.895545408400159,1.339727912285408
2024-04-01 07:00:00,43.30880728874676,33.96782606261277,16.650658354327717,20.972541718190943,4.084555814084826,4.237738165273682,33.64492259358275,33.64371757015707,0.0012050234256761,23.837173645764544,18.175859008409848,3.3658227378636187,0.905392022123269,7,0.3,1,0.1098053273429197,High Efficiency,Monday,April,77.27663335135954,-43.63171075777679,22.27335057318328,40.40462668033679,6.276763481898673
2024-04-01 08:00:00,30.05575058716044,9.98672035436744,5.980492363465778,73.92159352470341,6.796972168333452,0.9090882641866938,61.34164522075336,60.13542354056322,1.20622168019014,17.65262807032524,20.247763576596675,6.31849133686481,6.165382107774146,8,0.3,1,0.1123571478277641,High Efficiency,Monday,April,40.04247094152788,21.299174279225475,27.696722627170608,13.253056701586324,23.98110570824533
2024-04-01 09:00:00,35.40362888980228,19.57699854572562,12.313567905100763,24.146863929578323,0.566804321658354,2.1517326618610024,42.65994535064051,41.61878630759944,1.0411590430410698,22.712800217929825,12.32382394219716,6.875140275253116,3.0577506963642427,9,0.3,1,0.175980307475912,High Efficiency,Monday,April,54.98062743552789,-12.32068208488738,18.681699870112844,5.347878302641838,9.590278191358179
